order_date,product,category,quantity,sales_amount,inventory,year,month,day,day_of_week,quarter,sales_per_unit,inventory_ratio
2025-01-02,Mouse,Electronics,15,15000,100,2025,1,2,3,1,1000.0,6.25
2025-01-03,Keyboard,Electronics,10,25000,90,2025,1,3,4,1,2500.0,8.181818181818182
2025-01-04,Monitor,Electronics,6,60000,40,2025,1,4,5,1,10000.0,5.714285714285714
2025-01-05,Printer,Electronics,3,45000,25,2025,1,5,6,1,15000.0,6.25
2025-01-07,Mouse,Electronics,20,20000,80,2025,1,7,1,1,1000.0,3.8095238095238093
2025-01-08,Keyboard,Electronics,12,30000,70,2025,1,8,2,1,2500.0,5.384615384615385
2025-01-09,Monitor,Electronics,7,70000,35,2025,1,9,3,1,10000.0,4.375
2025-01-10,Printer,Electronics,5,75000,20,2025,1,10,4,1,15000.0,3.3333333333333335
2025-01-12,Mouse,Electronics,18,18000,62,2025,1,12,6,1,1000.0,3.263157894736842
2025-01-13,Keyboard,Electronics,14,35000,55,2025,1,13,0,1,2500.0,3.6666666666666665
2025-01-14,Monitor,Electronics,5,50000,30,2025,1,14,1,1,10000.0,5.0
2025-01-15,Printer,Electronics,4,60000,15,2025,1,15,2,1,15000.0,3.0
